Type,Residuals
Train,-150.9251717244606
Train,156.63610367071487
Train,340.21208364480117
Train,-88.70408964876697
Train,-44.2782145217825
Train,182.41603105763807
Train,529.1657847123752
Train,488.42646887889714
Train,-48.77810455319013
Train,188.38953832917468
Train,-523.3887082126603
Train,858.2632507592953
Train,105.19774219981628
Train,77.70902680929339
Train,392.83243979503095
Train,-471.504450141083
Train,-68.5000596695827
Train,-1.987766375681531
Train,7.746663828707824
Train,-128.87081589464924
Train,166.8850064132239
Train,-58.84783290145515
Train,-125.99986865490428
Train,884.8017301448999
Train,93.86231608086655
Train,-41.10440189959263
Train,232.75325086575685
Train,-374.37811624640926
Train,-507.6775523618053
Train,824.839885653284
Train,-617.0991243022727
Train,-171.39831800650154
Train,647.903362684814
Train,-231.77627259089513
Train,-320.92403034140443
Train,-675.5010109701798
Train,724.8232661732691
Train,-1623.4141502840685
Train,96.76088078209614
Train,307.66921046774587
Train,-210.33414033371446
Train,-125.24587795542084
Train,283.35842969655823
Train,-517.2142800388465
Train,386.60131539972645
Train,491.2972291014703
Train,-339.72358850690216
Train,22.612903408694365
Train,-158.56276551446717
Train,-407.38666942409145
Train,361.15175932937746
Train,144.02700905720485
Train,-356.1682370143317
Train,-246.66669252732618
Train,561.3173795057228
Train,207.72588561779867
Train,-662.5748737531067
Train,-98.81514313530079
Train,392.63072245251715
Train,-2.3310485182828415
Train,-148.19794493722657
Train,440.14009422863546
Train,928.5914497455378
Train,-225.83100068230488
Train,-19.21639923499606
Train,-202.6095795840356
Train,342.69676723660814
Train,84.65515396020282
Train,224.15331005936923
Train,305.5915676304685
Train,-273.05399381838424
Train,129.78419101402324
Train,658.1574955598408
Train,390.59667490491665
Train,305.2115194865082
Train,360.0645208219048
Train,-659.373328044021
Train,-373.59588928688845
Train,-580.2900002202405
Train,228.15195611464333
Train,-462.247747411855
Train,-498.4009601219477
Train,-317.42030956489725
Train,-909.6924630202775
Train,-158.23744271598662
Train,-856.214548106298
Train,373.2716913296863
Train,89.47696155492122
Train,-433.26619783803835
Train,-108.6949187301434
Train,-771.7463790532929
Train,350.3670305928272
Train,208.82710670874803
Train,-90.64209851504256
Train,-250.310672574622
Train,-430.30310621361787
Train,433.46891652270733
Train,-544.922135050102
Train,-18.553233262766298
Train,-351.0448695138075
Train,223.1126736204751
Train,436.7619579663515
Train,259.3721001277954
Train,-171.8827247082845
Train,142.6050730510069
